Event,Date,Content Pillar,Content Type,Link_info
Itheum's Yearly Recap,02/01/2023,Ecosystem,Blog,https://twitter.com/itheum/status/1609889985208926209
X-Day Conversations Ep 3,09/01/2023,Community,Youtube Interview,https://twitter.com/itheum/status/1612433036561235969
Data NFTs:Live on Devnet,16/01/2023,Tech News,Twitter,https://twitter.com/itheum/status/1614975031460696072
June Quest Leaderboard,19/06/2023,LeaderBoard,[{erd1ck5k3w3w3yscvah8667mz87nlrkfd23mek22vhr5ucyckv4ulkwqzn3xg3,16},{erd1m78atza88w0yv2wheecp4astkwt6x6y30fhufsvf0tyvwnpghndqh3yh40,11},{erd130qhxzu6lh29g6srnsa65pplxaf9sgsspczvljvxk624upwt7yqstswx9l,5}]
